"Name","IPAddress","Status","ErrorMessage"
"bnopfilesbia01","172.17.206.21","OK",""
"bnopfilesbia02","172.17.206.22","OK",""
"bnopfiscal01-a","172.17.201.28","OK",""
"bnopfiscal02-a","172.17.216.82","OK",""
"bnopfiscal-a","172.17.201.107","OK",""
"bnopfonadin-a","172.17.216.34","OK",""
"bnopgapsys-a","172.17.201.35","OK",""
"bnopgepi-a","172.17.202.18","OK",""
"bnopideriv02-a","172.17.90.153","OK",""
"bnopideriv-a","172.17.90.145","OK",""
"bnopifrspce-a","","NOT_OK","bnopifrspce-a : El nombre DNS no existe"
"bnopiisapp-a","172.17.90.9","OK",""
"bnopindeval-a","172.17.204.7","OK",""
"bnopintraap13-a","172.17.201.65","OK",""
"bnopintrabd13-a","172.17.201.9","OK",""
"bnopiparhel-a","172.17.206.132","OK",""
"bnopiteso02-a","172.17.90.177","OK",""
"bnopiteso03-a","172.17.90.185","OK",""
"bnoplabrhels-a","","NOT_OK","bnoplabrhels-a : El nombre DNS no existe"
"bnoplapsb01","172.27.206.20","OK",""
"bnoplicencias02-a","172.17.206.29","OK",""
"bnoplicencias-a","172.17.206.25","OK",""
"bnoplms-a-2012","172.17.201.56","OK",""
"bnoplobojub-a","172.17.90.81","OK",""
"bnoploborh02-a","172.17.90.89","OK",""
"bnoploborh05-a","172.17.201.32","OK",""
"bnoploborh06-a","","NOT_OK","bnoploborh06-a : El nombre DNS no existe"
"bnopmap-a","","NOT_OK","bnopmap-a : El nombre DNS no existe"
"bnopmcred-a","172.17.202.8","OK",""
"bnopmecm-a","172.17.201.115","OK",""
"bnopmonspei-b","172.27.206.109","OK",""
"bnopnaciseb01","10.4.40.24","OK",""
"bnopnaciseb02","10.4.40.26","OK",""
"bnopnewppm-a","172.17.216.2","OK",""
"bnopobiee","172.17.211.6","OK",""
"bnopobieemetas-a","172.17.201.71","OK",""
"bnopodimetas-a","172.17.201.69","OK",""
"bnopods-a","","NOT_OK","bnopods-a : El nombre DNS no existe"
"bnopohs-a","172.17.211.33","OK",""
"bnopohsesb-a","172.17.207.91","OK",""
"bnopoms13c-a","172.17.208.44","OK",""
"bnopopman01-b","172.27.214.74","OK",""
"bnopopman02-b","172.27.214.75","OK",""
"bnopopman03-b","172.27.214.76","OK",""
"bnopopndata-a","172.17.216.225","OK",""
"bnoporaa01","172.17.208.7","OK",""
"bnoporaavdf-a","172.17.206.43","OK",""
"bnoposb01-a","172.17.206.111","OK",""
"bnoposb02-a","172.17.206.112","OK",""
"bnoposb03-a","172.17.206.113","OK",""
"bnoposb04-a","172.17.206.114","OK",""
"bnoposb1esb-a","172.17.207.92","OK",""
"bnoposb2esb-a","172.17.207.93","OK",""
"bnoppcc-a","172.17.202.26","OK",""
"bnopporint-a","172.17.201.113","OK",""
"bnopportal-a","172.17.201.114","OK",""
"bnopportales-a","172.17.216.18","OK",""
"bnopportalf-a","172.17.216.122","OK",""
"bnopproyectos-a","","NOT_OK","bnopproyectos-a : El nombre DNS no existe"
"bnoppst-a","","NOT_OK","bnoppst-a : El nombre DNS no existe"
"bnopquebran-a","172.17.202.11","OK",""
